transaction_id,customer_id,transaction_timestamp,transaction_amount,payment_channel,authentication_type,device_risk_score,anomaly_score,transaction_velocity_score,geo_distance_km,merchant_category,customer_age,account_tenure_months,fraud_flag
TXN0000001,CUST45821,2024-01-01 08:15:22,1250.50,UPI,OTP,22,18,15,2.5,Retail,34,48,0
TXN0000002,CUST67214,2024-01-01 08:20:10,5600.75,Credit Card,PIN,78,82,75,125.4,Electronics,45,96,1
TXN0000003,CUST15892,2024-01-01 08:25:41,950.00,Debit Card,OTP,35,29,20,5.8,Food,29,24,0
TXN0000004,CUST89345,2024-01-01 08:31:17,18250.75,Net Banking,Password,91,88,93,420.7,Travel,51,144,1
TXN0000005,CUST22458,2024-01-01 08:40:55,499.99,Mobile Wallet,Biometric,14,12,10,1.1,Entertainment,22,12,0
TXN0000006,CUST55124,2024-01-01 08:55:30,7850.25,UPI,2FA,67,70,64,85.2,Healthcare,38,60,1
TXN0000007,CUST33219,2024-01-01 09:10:18,2500.00,Credit Card,OTP,30,28,25,10.5,Retail,41,72,0
TXN0000008,CUST78411,2024-01-01 09:15:44,34200.00,Net Banking,Password,95,96,91,520.3,Travel,57,180,1
TXN0000009,CUST11983,2024-01-01 09:20:27,1499.75,Debit Card,PIN,18,15,14,3.2,Food,31,36,0
TXN0000010,CUST66752,2024-01-01 09:35:12,9200.50,UPI,OTP,72,68,74,110.8,Electronics,43,84,1
TXN0000011,CUST55123,2024-01-02 10:10:11,840.00,UPI,OTP,15,20,18,2.2,Retail,27,18,0
TXN0000012,CUST88234,2024-01-02 10:12:55,15200.00,Credit Card,2FA,88,84,79,180.5,Travel,48,120,1
TXN0000013,CUST99213,2024-01-02 10:15:42,430.25,Mobile Wallet,Biometric,12,9,8,1.0,Food,24,8,0
TXN0000014,CUST33322,2024-01-02 10:20:17,6200.50,Debit Card,PIN,55,48,52,35.2,Healthcare,37,55,0
TXN0000015,CUST88821,2024-01-02 10:25:30,27200.00,Net Banking,Password,96,93,95,600.4,Travel,60,200,1
TXN0000016,CUST74125,2024-01-02 10:30:18,1800.00,UPI,OTP,28,24,30,4.8,Retail,35,44,0
TXN0000017,CUST14785,2024-01-02 10:35:29,11250.00,Credit Card,2FA,82,76,80,95.5,Electronics,46,90,1
TXN0000018,CUST96325,2024-01-02 10:42:12,550.00,Mobile Wallet,Biometric,10,8,7,0.8,Food,21,6,0
TXN0000019,CUST52147,2024-01-02 10:48:45,7200.00,Debit Card,PIN,60,58,61,42.0,Healthcare,39,66,0
TXN0000020,CUST84521,2024-01-02 10:55:20,29800.00,Net Banking,Password,94,97,90,550.0,Travel,55,175,1
TXN0000021,CUST32541,2024-01-03 11:05:14,920.50,UPI,OTP,20,22,18,3.5,Retail,30,22,0
TXN0000022,CUST65874,2024-01-03 11:12:20,8600.00,Credit Card,PIN,75,78,74,88.2,Electronics,44,82,1
TXN0000023,CUST45218,2024-01-03 11:20:44,690.00,Mobile Wallet,Biometric,14,13,12,1.5,Entertainment,23,9,0
TXN0000024,CUST77411,2024-01-03 11:28:50,14500.00,Net Banking,Password,90,89,87,300.0,Travel,50,130,1
TXN0000025,CUST11998,2024-01-03 11:35:33,2300.00,Debit Card,OTP,32,30,35,7.4,Retail,33,40,0
TXN0000026,CUST56211,2024-01-03 11:40:11,9900.00,UPI,2FA,79,81,77,102.0,Electronics,42,70,1
TXN0000027,CUST44885,2024-01-03 11:45:29,410.00,Mobile Wallet,Biometric,9,11,10,0.9,Food,20,5,0
TXN0000028,CUST98541,2024-01-03 11:52:17,6700.00,Credit Card,PIN,58,60,55,40.0,Healthcare,36,58,0
TXN0000029,CUST33554,2024-01-03 12:01:44,31000.00,Net Banking,Password,98,95,96,650.0,Travel,58,190,1
TXN0000030,CUST77881,2024-01-03 12:10:15,1500.00,UPI,OTP,25,21,22,4.2,Retail,28,26,0
TXN0000031,CUST48521,2024-01-04 08:12:45,780.00,UPI,OTP,18,15,16,2.1,Retail,26,14,0
TXN0000032,CUST95741,2024-01-04 08:20:33,12500.00,Credit Card,2FA,84,82,80,110.5,Electronics,47,88,1
TXN0000033,CUST66521,2024-01-04 08:35:17,650.00,Mobile Wallet,Biometric,11,10,9,1.0,Food,22,7,0
TXN0000034,CUST44112,2024-01-04 08:45:55,5300.00,Debit Card,PIN,52,48,50,30.2,Healthcare,40,62,0
TXN0000035,CUST88552,2024-01-04 09:00:12,26500.00,Net Banking,Password,93,91,94,480.0,Travel,54,165,1
TXN0000036,CUST22514,2024-01-04 09:12:21,1750.00,UPI,OTP,27,25,24,3.8,Retail,32,35,0
TXN0000037,CUST55221,2024-01-04 09:20:14,10400.00,Credit Card,PIN,80,79,78,98.5,Electronics,45,75,1
TXN0000038,CUST99541,2024-01-04 09:28:10,580.00,Mobile Wallet,Biometric,12,9,11,0.7,Entertainment,21,6,0
TXN0000039,CUST63215,2024-01-04 09:35:17,7100.00,Debit Card,OTP,59,61,58,38.0,Healthcare,38,57,0
